feature,GroupContrib,importance,clean_name,Compound
FT_24.36_538.3077_pos,combo,0.31613484833350414,24.36_538.3077,24.36_538.3077n
FT_22.73_384.2347_pos,combo,0.2873094845228134,22.73_384.2347,22.73_384.2347m/z
FT_24.32_440.0964_pos,no_veg,0.27310211607315615,24.32_440.0964,24.32_440.0964m/z
FT_24.75_409.2405_pos,combo,0.24639619071077348,24.75_409.2405,24.75_409.2405m/z
FT_22.41_578.2522_pos,no_veg,0.21612544660524216,22.41_578.2522,22.41_578.2522m/z
FT_32.21_540.8802_pos,combo,0.20273665024128143,32.21_540.8802,32.21_540.8802m/z
FT_24.97_503.3301_pos,combo,0.1939375769510563,24.97_503.3301,24.97_503.3301m/z
FT_22.54_438.3548_pos,combo,0.18432448001811974,22.54_438.3548,22.54_438.3548m/z
FT_4.57_773.0707_pos,combo,0.1813475691071376,4.57_773.0707,4.57_773.0707m/z
FT_14.81_419.2407_pos,combo,-0.18013996804138663,14.81_419.2407,14.81_419.2407m/z
FT_24.92_379.0574_pos,no_veg,0.17996621690435066,24.92_379.0574,24.92_379.0574m/z
FT_20.26_659.3361_pos,combo,-0.17154743348443144,20.26_659.3361,20.26_659.3361m/z
FT_24.43_387.1781_pos,no_veg,0.16556827036269137,24.43_387.1781,24.43_387.1781m/z
FT_24.67_458.3198_pos,combo,0.15976374213468758,24.67_458.3198,24.67_458.3198m/z
FT_22.91_291.1940_pos,combo,0.15491041507798847,22.91_291.1940,22.91_291.1940m/z
FT_24.34_407.2382_pos,no_veg,0.15484047888706837,24.34_407.2382,24.34_407.2382m/z
FT_24.32_391.0771_pos,no_veg,0.1535804800635537,24.32_391.0771,24.32_391.0771m/z
FT_24.14_323.2178_pos,combo,0.15339619093408408,24.14_323.2178,24.14_323.2178m/z
FT_22.41_556.2706_pos,no_veg,0.15189522057113672,22.41_556.2706,22.41_556.2706m/z
FT_21.39_286.2365_pos,combo,0.14985239881248744,21.39_286.2365,21.39_286.2365m/z
FT_25.87_451.1130_pos,no_veg,0.1392637800816201,25.87_451.1130,25.87_451.1130m/z
FT_25.27_489.2805_pos,no_veg,0.1389863497503712,25.27_489.2805,25.27_489.2805m/z
FT_24.87_537.3006_pos,no_veg,0.13565493542379894,24.87_537.3006,24.87_537.3006m/z
FT_16.85_336.1527_pos,no_veg,0.13433174049608046,16.85_336.1527,16.85_336.1527m/z
FT_17.39_540.2538_pos,no_veg,0.13160314820075955,17.39_540.2538,17.39_540.2538m/z
FT_20.30_366.6984_pos,combo,-0.1312472108802408,20.30_366.6984,20.30_366.6984m/z
FT_18.12_328.1851_pos,no_veg,0.12792725776513367,18.12_328.1851,18.12_328.1851m/z
FT_24.23_417.2347_pos,combo,0.12431554914831398,24.23_417.2347,24.23_417.2347m/z
FT_24.38_265.2126_pos,no_veg,0.12429900573281226,24.38_265.2126,24.38_265.2126m/z
FT_24.32_529.0897_pos,no_veg,0.12309662867300392,24.32_529.0897,24.32_529.0897m/z
FT_24.51_341.2783_pos,no_veg,0.1225014274984711,24.51_341.2783,24.51_341.2783m/z
FT_14.16_409.2078_pos,combo,-0.12141190465728152,14.16_409.2078,14.16_409.2078m/z
FT_24.94_405.0926_pos,no_veg,0.12063243245430555,24.94_405.0926,24.94_405.0926m/z
FT_24.08_377.0617_pos,no_veg,0.11553190622638751,24.08_377.0617,24.08_377.0617m/z
FT_18.05_490.2730_pos,no_veg,0.11527266269870487,18.05_490.2730,18.05_490.2730m/z
FT_24.34_305.1715_pos,no_veg,0.11254201521328489,24.34_305.1715,24.34_305.1715m/z
FT_11.83_437.2014_pos,combo,-0.11100878409493843,11.83_437.2014,11.83_437.2014m/z
FT_24.55_814.9862_pos,combo,0.11037611961284124,24.55_814.9862,24.55_814.9862m/z
FT_22.41_534.2888_pos,no_veg,0.10709299576420155,22.41_534.2888,22.41_534.2888m/z
FT_16.20_435.2246_pos,combo,-0.10645663790390847,16.20_435.2246,16.20_435.2246m/z
FT_5.32_502.1114_pos,combo,0.10327765133688752,5.32_502.1114,5.32_502.1114m/z
